IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_SALA_DIRETORIA;IN_LABORATORIO_INFORMATICA;IN_BANHEIRO_DENTRO_PREDIO;IN_SECRETARIA;IN_AUDITORIO;IN_LAVANDERIA;IN_EQUIP_TV;IN_EQUIP_COPIADORA;IN_EQUIP_IMPRESSORA;IN_BANDA_LARGA;IN_EDUCACAO_INDIGENA;IN_COMUM_EJA_FUND;TX_RESP_Q004_C;TX_RESP_Q015_A;TX_RESP_Q034_A;TX_RESP_Q041_C;TX_RESP_Q056_C
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0989010989010989;0.0;0.07537688442211055;0.046511627906976744;0.0
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.07326007326007326;0.08333333333333333;0.10552763819095477;0.27906976744186046;0.08695652173913043
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.10989010989010989;0.0;0.18090452261306533;0.046511627906976744;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.18681318681318682;0.08333333333333333;0.15075376884422112;0.41860465116279066;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.08424908424908426;0.08333333333333333;0.07537688442211055;0.13953488372093023;0.043478260869565216
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.06593406593406594;0.25;0.04020100502512563;0.046511627906976744;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.12087912087912088;0.0;0.11055276381909547;0.3023255813953488;0.08695652173913043
1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.4065934065934066;0.08333333333333333;0.6180904522613065;0.3023255813953488;0.13043478260869565
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.04395604395604395;0.0;0.06532663316582915;0.09302325581395349;0.17391304347826086
1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.13553113553113552;0.08333333333333333;0.19597989949748745;0.3023255813953488;0.08695652173913043
0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.13186813186813187;0.16666666666666666;0.135678391959799;0.3488372093023256;0.13043478260869565
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.047619047619047616;0.0;0.09045226130653267;0.18604651162790697;0.043478260869565216
1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.36996336996337;0.41666666666666663;0.407035175879397;0.7674418604651163;0.21739130434782608
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.06593406593406594;0.0;0.14070351758793972;0.11627906976744186;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.15075376884422112;0.3023255813953488;0.13043478260869565
1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.08424908424908426;0.25;0.16080402010050251;0.11627906976744186;0.08695652173913043
0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.11721611721611722;0.0;0.11557788944723617;0.4418604651162791;0.2608695652173913
0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.08058608058608059;0.16666666666666666;0.19597989949748745;0.5116279069767442;0.17391304347826086
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0989010989010989;0.16666666666666666;0.2763819095477387;0.4883720930232558;0.13043478260869565
0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029304029304029304;0.0;0.08040201005025126;0.3023255813953488;0.2608695652173913
0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.018315018315018316;0.08333333333333333;0.035175879396984924;0.023255813953488372;0.043478260869565216
0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.16666666666666666;0.1206030150753769;0.3023255813953488;0.043478260869565216
0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.06593406593406594;0.0;0.09045226130653267;0.20930232558139533;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.1684981684981685;0.08333333333333333;0.26633165829145733;0.37209302325581395;0.043478260869565216
